player_name,team_name,position,source_url,resolved_pff_player_id,resolved_team,match_reason,grades_offense,grades_defense,grades_pass,pff_player_id,grades_pass_route,grades_pass_block,grades_run_block,grades_pass_rush,grades_run_defense_dl,grades_run_defense_lb,grades_coverage_db,grades_coverage_lb,grades_tackle,grades_tackle_db,stats_targets,stats_receptions,stats_interceptions,stats_pressures,stats_sacks,stats_hits,stats_hurries,stats_tackles,stats_assists
Aden Willis,Marshall,CB,https://premium.pff.com/ncaa/players/2025/REGPO/aden-willis/205021/snaps,205021,Marshall Thundering Herd,exact-name+position+team,2,2,2,205021,,,,,,,,,,,,,,,,,,,
Ah'Marion Ashley,,CB,https://premium.pff.com/ncaa/players/2025/REGPO/ah-marion-ashley/173502/snaps,173502,Fresno State Bulldogs,exact-name+position,2,2,2,173502,,,,,,,,,,,,,,,,,,,
Aidan Singleton,,CB,https://premium.pff.com/ncaa/players/2025/REGPO/aidan-singleton/172091/snaps,172091,Lehigh Mountain Hawks,exact-name+position,0,2,2,172091,0,0,0,0,81.6,81.6,16,16,61.6,61.6,68,33,1,0,0,0,0,7,7
