id,player_id,pff_player_id,player_name,team_name,position,season,current_primary_grade
548d0d73-4852-4d48-98d4-36bb670f7b8e,3a2424bf-156f-4857-b0ac-d07d47b74f90,-519470595,Khamauri Rogers,Jackson State,CB,2025,
bbb82ccd-b9ab-48b7-bf4f-e5bb036de756,0b804ac7-4162-4956-8600-283ea2792dfb,-939334454,Khari Gee,Chattanooga,CB,2025,
493cea65-c44f-4363-ba4c-35266eef7153,1479f86b-3705-4ab6-8dbc-f38d26cf7bdc,-644770933,KJ Makins,Baylor,CB,2025,
17ed78cf-0d90-4a83-a64b-6bd2da018bbc,2812b113-5666-4bb0-807e-b326995304fe,-934291078,Kolubah Pewee,UConn,CB,2025,
56cba0b1-1606-4d47-8580-8d010227252d,c40fd003-42be-4b2a-b1b2-764f2411b4f7,-1727586555,Kyle Carpenter,Colorado,CB,2025,
805da8fa-62e6-4844-adf9-130b9e512ee9,6feede36-5ca3-4381-ae85-776840d4f3d7,-97707525,Landon Hammond,Tulane,CB,2025,
747beb2e-3cb1-4045-a526-ca0181c91e4e,6859787e-37af-492d-bc08-675b7d80d019,-1230511373,Larry Tarver,,CB,2025,
b0af9302-6bbd-47eb-9a85-428aa13a26a2,0a34a590-0c96-4762-94e5-5592b8992f4d,-119158380,Leonard Sherrod,Wheeling,CB,2025,
0a01089f-c125-45b4-987d-a2da8a198551,37925f52-dd10-4eb7-b368-9f580654baab,-30723075,Malcolm Reed,North Carolina Central,CB,2025,
91d8c061-6882-4cee-b856-a995baddb4b6,e5088ab3-9fb4-43eb-93e6-aedeec7a8e57,-802213639,Markeith Williams,Miami,CB,2025,
32af32b7-82e8-4e6e-afbb-e547039e45b6,40ad032a-93ea-4ba5-ba95-79e57734394c,-420123296,Markevious Brown,,CB,2025,
1790b146-3a10-4d9b-b489-6edf156ddc56,ca37fc93-500a-4036-8f4c-ef59e8946d88,-563432015,Michael Gravely,Ball State,CB,2025,
4b950e40-dc6a-4e54-b01e-2928e1bd6005,6095b1e3-ba87-4c73-8c85-a5beb2f2659b,-666108780,Milt Ferguson,James Madison,CB,2025,
bafab96f-46cf-4067-851f-bd32698ea959,ca252c74-8c3b-4521-a741-182390a362e2,-231159441,Nijrell Eason,UNLV,CB,2025,
c272cf24-fff4-4f33-9656-13e2db2a938d,afd787c4-59ef-4d2e-a44a-ab65b2189022,-617540522,Noah Gibson,Coastal Carolina,CB,2025,
65aab7a1-a619-4e16-99eb-ba732e75c162,5b95a05b-8b13-42f1-b438-22b984ca67f2,-1265129925,Qualyn McQueen,Nebraska-Kearney,CB,2025,
43021a2f-d441-4e7a-85f3-ad35750a4727,237e0e1b-dcb1-45de-80b9-716cfeb2eada,-1693719331,Quincy Briggs,Georgetown,CB,2025,
6547cf4c-03be-4b0e-8eba-5f7a7971d3aa,91588945-ca30-4037-90e9-665b685f444d,-549290343,Richard Mosley,Stonehill,CB,2025,
bef8c622-68ba-4d28-adf5-1015c702b581,f4d19aed-6278-4856-a92b-22d03d6eb2da,-15906633,Richard Toney,Purdue,CB,2025,
7bac2856-2ba6-4068-80db-783e7d120ff3,24e1f5cd-30fc-479f-9b14-8016d7937614,-1742859897,Roger Jones,,CB,2025,
ba260f59-fa4f-4ee2-9a13-ec41e4fa3383,3475ef55-c9f8-42d4-8188-612f5f174638,-1585101165,Sean Webb,New Hampshire,CB,2025,
10f3b86e-f951-47d9-9331-24f19f8f1418,e5715a9c-1505-42db-9a1f-e9a6d0ba2ff0,-63801892,Sentel Simpson,Louisiana Tech,CB,2025,
