player_name,team_name,position,source_url,resolved_pff_player_id,resolved_team,match_reason,pff_player_id,snaps_offense,snaps_defense,snaps_special_teams,stats_pass_block_snaps,stats_run_block_snaps,stats_pass_rush_snaps,stats_pff_coverage_snaps,grades_defense,grades_coverage_db,grades_tackle_db,stats_pressures,stats_sacks,stats_hits,stats_hurries,stats_run_stops,stats_tackles,stats_assists,stats_missed_tackles,stats_forced_fumbles,stats_targets_allowed,stats_receptions_allowed,stats_yards_allowed,stats_tds_allowed,stats_interceptions_def,stats_pass_breakups,stats_passer_rating_allowed,stats_yards_per_coverage_snap,snaps_interior_dl,snaps_in_box_lb,snaps_off_ball_lb,snaps_free_safety,snaps_strong_safety,snaps_slot_cb,snaps_outside_cb,snaps_in_box_db,snaps_deep_safety
Aden Willis,Marshall,CB,https://premium.pff.com/ncaa/players/2025/REGPO/aden-willis/205021/snaps,205021,Marshall Thundering Herd,exact-name+position+team,205021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ah'Marion Ashley,,CB,https://premium.pff.com/ncaa/players/2025/REGPO/ah-marion-ashley/173502/snaps,173502,Fresno State Bulldogs,exact-name+position,173502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aidan Singleton,,CB,https://premium.pff.com/ncaa/players/2025/REGPO/aidan-singleton/172091/snaps,172091,Lehigh Mountain Hawks,exact-name+position,172091,0,723,66,0,0,0,435,71.6,69.5,61.6,0,0,0,0,8,35,7,7,0,68,33,397,3,2,8,69.3,0.913,0,37,723,0,0,1,685,37,0
